"TOA5","CR3000_Estac","CR3000","4133","CR3000.Std.10","CPU:Betania_25_03.CR3","5021","Baixa"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","NRLite_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCorr_Avg","CG3DnCorr_Avg","CNR1TC_Avg","CMA11Up_Avg","CMA11Dn_Avg","LI190S_Avg","VW_Avg","HFP01_Avg","STP01_50cm_Avg","STP01_20cm_Avg","STP01_10cm_Avg","STP01_5cm_Avg","STP01_2cm_Avg","CS106_Avg","HMP45C_Temp_Avg","HMP45C_RH_Avg","WindSpeed","WindDirection","TB4_Tot"
"TS","RN","","","W/m2","W/m2","W/m2","W/m2","W/m2","deg_C","W/m2","W/m2","umol/mol","%","W/m2","deg_C","deg_C","deg_C","deg_C","deg_C","hPa","dec_C","%","m/s","Deg","mm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc:Averaged_Value","WVc:Averaged_Value","Tot"
"2011-04-04 20:00:00",50752,12.41,28.27,-33.72255,0,1.529468,420.6387,460.3127,28.08834,0,0.4743321,0.1400496,0.2915959,-7.946457,28.31621,28.92189,28.87571,28.69451,28.41888,1006.163,27.13769,78.49785,0.5832639,69.79261,0
"2011-04-04 20:10:00",50753,12.42,28.01,-33.34403,0,1.79908,420.4176,460.2693,28.03369,0,0.607701,0.1617579,0.2915489,-8.279048,28.32239,28.89962,28.83168,28.63707,28.36377,1006.39,27.40231,77.55237,0.533937,69.8735,0
"2011-04-04 20:20:00",50754,12.41,27.8,-32.01244,0,1.598275,421.476,459.9451,27.93986,0,0.546968,0.1554571,0.2914329,-8.530689,28.32657,28.87737,28.7875,28.57927,28.31477,1006.599,27.28934,78.56005,0.5391635,74.88575,0
"2011-04-04 20:30:00",50755,12.41,27.61,-23.03973,0,1.439352,434.3761,461.3554,27.8979,0,0.4685531,0.1498547,0.2913435,-8.689086,28.3318,28.85594,28.74272,28.52745,28.273,1006.674,27.14447,79.57047,0.4645202,72.45798,0
"2011-04-04 20:40:00",50756,12.4,27.49,-16.6441,0.1008065,1.500237,444.7394,464.1241,28.04597,0,0.519331,0.1708629,0.2912655,-8.576743,28.3362,28.8345,28.70403,28.48552,28.2588,1006.889,27.27095,78.65585,0.698904,75.31412,0
"2011-04-04 20:50:00",50757,12.39,27.45,-21.51431,0.1122709,1.382439,438.0369,463.9066,28.181,0,0.4605229,0.1827683,0.2912075,-8.265894,28.34095,28.81132,28.66772,28.45935,28.25122,1007.021,27.39955,78.35189,0.504864,71.34702,0
"2011-04-04 21:00:00",50758,12.38,27.34,-30.286,0,0.8111959,422.1411,458.5464,27.91076,0,0.2413477,0.1421523,0.2911393,-8.040551,28.34535,28.79068,28.63579,28.43201,28.19892,1007.055,27.07603,80.50123,0.02825665,79.21304,0
"2011-04-04 21:10:00",50759,12.39,27.15,-28.09977,0,1.326705,425.7372,458.9847,27.66721,0,0.4062137,0.1204455,0.2910766,-8.294587,28.34986,28.76926,28.60421,28.39081,28.13349,1007.127,26.76264,82.75856,0.3225833,69.75301,0
"2011-04-04 21:20:00",50760,12.38,26.99,-24.28417,0.003162614,1.57419,431.1622,460.2743,27.67296,0,0.5752594,0.1512585,0.2909855,-8.478743,28.35353,28.74624,28.56899,28.35451,28.10539,1007.225,26.90231,81.94449,0.3351604,78.99756,0
"2011-04-04 21:30:00",50761,12.37,26.86,-25.94556,0,1.457961,429.4074,460.0107,27.63657,0,0.5309083,0.1610618,0.290847,-8.393583,28.3574,28.72828,28.53578,28.33199,28.08585,1007.428,26.85389,82.2313,0.3013498,75.95912,0
"2011-04-04 21:40:00",50762,12.37,26.76,-30.73592,0,1.866325,423.4481,459.8977,27.67557,0,0.6186411,0.1449551,0.290742,-8.358294,28.36119,28.7071,28.50218,28.30752,28.05647,1007.461,26.94153,81.13988,0.6845301,80.46351,0
"2011-04-04 21:50:00",50763,12.36,26.69,-31.53658,0,1.86753,422.4163,460.1034,27.76911,0,0.5582287,0.164564,0.2906804,-8.507508,28.36471,28.68692,28.47767,28.27256,28.01479,1007.441,27.0937,79.21629,0.8731806,73.38466,0
"2011-04-04 22:00:00",50764,12.38,26.65,-29.63483,0,1.630733,424.8409,459.9988,27.77777,0,0.4762796,0.1561613,0.2906298,-8.808194,28.36798,28.66759,28.44807,28.2344,27.97653,1007.521,27.09582,78.96662,0.7095201,74.33398,0
"2011-04-04 22:10:00",50765,12.36,26.6,-29.37889,0,1.554428,424.1761,459.7104,27.74577,0,0.449282,0.1540599,0.2905584,-8.988599,28.37115,28.64829,28.41749,28.19872,27.9457,1007.583,27.02518,79.48879,0.6918806,79.09969,0
"2011-04-04 22:20:00",50766,12.37,26.55,-26.78811,0,1.344901,426.9049,459.1519,27.68415,0,0.4001105,0.1421549,0.2904546,-9.084692,28.3743,28.62745,28.39039,28.16839,27.91326,1007.674,26.92883,80.74777,0.4509635,77.83942,0
"2011-04-04 22:30:00",50767,12.37,26.5,-22.44726,0,1.35478,434.1021,460.7523,27.67305,0,0.399788,0.1414541,0.2903581,-9.04612,28.37656,28.60771,28.36697,28.13949,27.8926,1007.686,26.85956,81.51131,0.6825699,85.97754,0
"2011-04-04 22:40:00",50768,12.35,26.46,-21.83347,0,1.216418,435.0886,460.9847,27.68805,0,0.3821132,0.1435553,0.2902667,-8.861902,28.38019,28.58639,28.35182,28.12111,27.88931,1007.766,26.81254,81.63583,0.7122979,68.50574,0
